Covid Data
"Sep 15, 2020"
"6,557,762"
"Sep 14, 2020"
"6,522,317"
"Sep 13, 2020"
"6,488,453"
"Sep 12, 2020"
"6,454,000"
"Sep 11, 2020"
"6,411,913"
"Sep 10, 2020"
"6,366,986"
"Sep 9, 2020"
"6,329,405"
"Sep 8, 2020"
"6,298,422"
"Sep 7, 2020"
"6,276,199"
"Sep 6, 2020"
"6,247,517"
"Sep 5, 2020"
"6,214,400"
"Sep 4, 2020"
"6,169,495"
"Sep 3, 2020"
"6,117,904"
"Sep 2, 2020"
"6,073,190"
"Sep 1, 2020"
"6,042,587"
"Aug 31, 2020"
"6,000,154"
"Aug 30, 2020"
"5,968,748"
"Aug 29, 2020"
"5,929,247"
"Aug 28, 2020"
"5,884,746"
"Aug 27, 2020"
"5,838,198"
"Aug 26, 2020"
"5,794,214"
"Aug 25, 2020"
"5,750,161"
"Aug 24, 2020"
"5,713,782"
"Aug 23, 2020"
"5,679,139"
"Aug 22, 2020"
"5,641,573"
"Aug 21, 2020"
"5,595,337"
"Aug 20, 2020"
"5,548,776"
"Aug 19, 2020"
"5,505,018"
"Aug 18, 2020"
"5,460,063"
"Aug 17, 2020"
"5,419,268"
"Aug 16, 2020"
"5,381,388"
"Aug 15, 2020"
"5,338,901"
"Aug 14, 2020"
"5,282,752"
"Aug 13, 2020"
"5,227,116"
"Aug 12, 2020"
"5,175,357"
"Aug 11, 2020"
"5,119,223"
"Aug 10, 2020"
"5,063,522"
"Aug 9, 2020"
"5,021,433"
"Aug 8, 2020"
"4,970,806"
"Aug 7, 2020"
"4,917,094"
"Aug 6, 2020"
"4,855,749"
"Aug 5, 2020"
"4,801,562"
"Aug 4, 2020"
"4,749,238"
"Aug 3, 2020"
"4,697,372"
"Aug 2, 2020"
"4,647,659"
"Aug 1, 2020"
"4,600,847"
"Jul 31, 2020"
"4,539,746"
"Jul 30, 2020"
"4,472,123"
"Jul 29, 2020"
"4,402,705"
"Jul 28, 2020"
"4,335,742"
"Jul 27, 2020"
"4,279,294"
"Jul 26, 2020"
"4,223,962"
"Jul 25, 2020"
"4,162,962"
"Jul 24, 2020"
"4,098,221"
"Jul 23, 2020"
"4,022,985"
"Jul 22, 2020"
"3,951,433"
"Jul 21, 2020"
"3,882,100"
"Jul 20, 2020"
"3,818,170"
"Jul 19, 2020"
"3,761,129"
"Jul 18, 2020"
"3,696,869"
"Jul 17, 2020"
"3,631,918"
"Jul 16, 2020"
"3,555,076"
"Jul 15, 2020"
"3,484,040"
"Jul 14, 2020"
"3,418,243"
"Jul 13, 2020"
"3,355,514"
"Jul 12, 2020"
"3,297,423"
"Jul 11, 2020"
"3,236,111"
"Jul 10, 2020"
"3,173,216"
"Jul 9, 2020"
"3,106,370"
"Jul 8, 2020"
"3,047,213"
"Jul 7, 2020"
"2,984,541"
"Jul 6, 2020"
"2,932,813"
"Jul 5, 2020"
"2,890,895"
"Jul 4, 2020"
"2,845,283"
"Jul 3, 2020"
"2,790,945"
"Jul 2, 2020"
"2,736,997"
"Jul 1, 2020"
"2,682,912"
"Jun 30, 2020"
"2,631,931"
"Jun 29, 2020"
"2,584,067"
"Jun 28, 2020"
"2,544,254"
"Jun 27, 2020"
"2,502,684"
"Jun 26, 2020"
"2,459,520"
"Jun 25, 2020"
"2,414,977"
"Jun 24, 2020"
"2,375,337"
"Jun 23, 2020"
"2,336,265"
"Jun 22, 2020"
"2,302,818"
"Jun 21, 2020"
"2,275,537"
"Jun 20, 2020"
"2,247,609"
"Jun 19, 2020"
"2,215,315"
"Jun 18, 2020"
"2,183,844"
"Jun 17, 2020"
"2,156,098"
"Jun 16, 2020"
"2,132,097"
"Jun 15, 2020"
"2,108,600"
"Jun 14, 2020"
"2,089,970"
"Jun 13, 2020"
"2,068,571"
"Jun 12, 2020"
"2,043,195"
"Jun 11, 2020"
"2,019,598"
"Jun 10, 2020"
"1,997,445"
"Jun 9, 2020"
"1,976,551"
"Jun 8, 2020"
"1,959,239"
"Jun 7, 2020"
"1,942,030"
"Jun 6, 2020"
"1,923,290"
"Jun 5, 2020"
"1,900,226"
"Jun 4, 2020"
"1,876,826"
"Jun 3, 2020"
"1,855,946"
"Jun 2, 2020"
"1,835,554"
"Jun 1, 2020"
"1,815,444"
"May 31, 2020"
"1,794,962"
"May 30, 2020"
"1,773,404"
"May 29, 2020"
"1,749,722"
"May 28, 2020"
"1,726,148"
"May 27, 2020"
"1,703,518"
"May 26, 2020"
"1,684,081"
"May 25, 2020"
"1,667,251"
"May 24, 2020"
"1,648,560"
"May 23, 2020"
"1,628,513"
"May 22, 2020"
"1,606,982"
"May 21, 2020"
"1,582,427"
"May 20, 2020"
"1,555,861"
